Protein1,Protein2,avg_n_models
A1L1A6,Q0VAA5,0.411
A4D1Z8,Q9H5X1,0.411
O14957,Q96DD7,0.411
O75949,P30954,0.411
P01709,P30874,0.411
Q719I0,Q9P232,0.411
O43676,P03901,0.411
A0A5B0,Q9UJY4,0.41
E5RJM6,P50553,0.41
F5H4A9,P0DP42,0.41
O00144,P01178,0.41
O00585,Q9NUE0,0.41
O15239,P42127,0.41
O15482,O95925,0.41
O60870,Q96HR3,0.41
P01112,Q9BV47,0.41
P59998,Q9NR33,0.41
P80075,Q96S42,0.41
Q14956,Q9H201,0.41
Q5SYC1,Q8NAM6,0.41
Q5VWK0,Q86XP6,0.41
Q68D06,Q9P0T7,0.41
Q6DJT9,Q86UY5,0.41
Q6ZP29,Q8N3G9,0.41
Q86U02,Q9NWT8,0.41
Q8NH85,Q9BYZ8,0.41
Q9BVL4,Q9NQL9,0.41
Q9H2C8,Q9Y6I4,0.41
Q9BQC6,Q9NQ50,0.41
A0A0B4J266,P05162,0.409
O15018,Q08629,0.409
P25208,Q9BRJ9,0.409
P27348,Q96QF0,0.409
P60059,Q9H892,0.409
P60673,Q6ZNC4,0.409
Q14168,Q9NRA8,0.409
Q75N03,Q8NC01,0.409
Q96CN5,Q99704,0.409
P28331,Q9Y6M9,0.409
A0JD36,Q9UKF7,0.408
A6NI73,Q16821,0.408
O75381,Q86X24,0.408
O94910,P24386,0.408
P20231,Q8NI29,0.408
P55055,Q8NCV1,0.408
Q15119,Q96SQ9,0.408
Q66K74,Q92541,0.408
Q9BYG4,Q9UGC6,0.408
Q9NSE2,Q9UGU5,0.408
A0A1B0GVK7,Q8N300,0.407
A0A1W2PQ27,P61218,0.407
O75899,Q13042,0.407
O95206,Q6ZN06,0.407
O95415,P16581,0.407
O95838,P00390,0.407
P01768,Q14493,0.407
P16070,Q6NUJ2,0.407
P21854,P78364,0.407
P24046,P48995,0.407
P41220,Q8WVX3,0.407
Q02575,Q8NFR3,0.407
Q0P641,Q6ICB4,0.407
Q13166,Q15836,0.407
Q7Z4W2,Q9H8P0,0.407
Q8N114,Q8WZ59,0.407
Q8N7C3,Q99607,0.407
Q92956,Q96K19,0.407
Q99062,Q9BXB1,0.407
Q9NRD1,Q9Y566,0.407
O95169,Q9NX14,0.407
Q6P2Q9,Q9Y5U2,0.407
A0A075B6T7,O15263,0.406
O00233,Q86U28,0.406
P01374,Q14681,0.406
P01733,Q9NX04,0.406
P0C7M8,Q5VXD3,0.406
P50591,Q8N2E6,0.406
P55774,Q9H3H9,0.406
Q07001,Q9UQ05,0.406
Q7Z2D5,Q9HC56,0.406
Q86WR0,Q8NGL0,0.406
O15263,P25025,0.405
O60941,Q9UJF2,0.405
O94892,Q6UXK2,0.405
P0DKB5,Q15762,0.405
P13726,P51689,0.405
P23763,Q7Z7M8,0.405
P58550,Q50LG9,0.405
Q0P6D2,Q8IZP2,0.405
Q14213,Q9BSY9,0.405
Q15042,Q86YV6,0.405
Q7Z6B0,Q9Y6M5,0.405
Q8TDQ0,Q9NZQ0,0.405
Q9BY76,Q9H4G1,0.405
Q9H4L4,Q9P0N5,0.405
O43920,P19404,0.405
Q16718,Q16718,0.405
Q9BQC6,Q9H2W6,0.405
P26441,P40189,0.405
A0A087X0K7,Q13636,0.404
A5D6W6,O75072,0.404
A8MUM7,Q9UII6,0.404
O60885,O95801,0.404
O95399,Q9NUR3,0.404
P01562,Q49A17,0.404
P14174,P46060,0.404
P18089,Q9NZB2,0.404
P20393,Q8IY57,0.404
P53004,Q9UK53,0.404
P55344,Q14493,0.404
P56537,Q9Y5J7,0.404
Q30KQ7,Q93062,0.404
Q8NH72,Q92187,0.404
Q9UIE0,Q9ULV5,0.404
O95274,P63173,0.403
P10451,Q9Y5U5,0.403
P35462,Q96FV0,0.403
P35527,Q9UBU2,0.403
Q13506,Q96GP6,0.403
O15239,O95178,0.403
A0A1B0GV90,P01574,0.402
A8MXJ8,Q96RI1,0.402
O43505,Q14442,0.402
O43603,Q8WWR8,0.402
O76036,Q9P2W9,0.402
O94985,Q92908,0.402
P0C604,Q969P0,0.402
P18827,Q3KR37,0.402
P47893,Q9UQP3,0.402
P49407,Q9H6E4,0.402
P62910,Q6P4F2,0.402
Q15819,Q8N8N0,0.402
Q5JR12,Q9UHD1,0.402
Q70EL1,Q8IZ41,0.402
Q8N1L9,Q96A98,0.402
Q8N5C8,Q9H5J0,0.402
Q8N831,Q96P15,0.402
Q8NDY4,Q9NPU4,0.402
Q8NH57,Q969U6,0.402
Q99788,Q99969,0.402
O14931,Q9H4I9,0.401
O75489,Q9HCS5,0.401
P08588,Q9Y2G1,0.401
P0C646,Q7Z5A9,0.401
P53350,Q14CM0,0.401
P78411,Q14108,0.401
Q5VUY2,Q92753,0.401
Q9NZ20,Q9UPX6,0.401
O15239,O95298,0.401
O43603,P63092,0.401
A0A087X1C5,Q96G27,0.4
A0A494BZU4,Q96LR4,0.4
A0PJW6,O00478,0.4
A1XBS5,Q9Y2I7,0.4
A6NJR5,Q9NPD7,0.4
A8MZ59,Q96KN3,0.4
O00559,O96033,0.4
O00626,Q93075,0.4
O14874,Q8TB05,0.4
O15480,Q9UL19,0.4
O43257,Q9P2U8,0.4
O43566,P09622,0.4
O60266,Q8NH19,0.4
O60814,Q9Y6B2,0.4
O95750,Q5TGL8,0.4
P02775,P09466,0.4
P03928,Q96IK0,0.4
P08493,Q5VWC8,0.4
P08861,Q92583,0.4
P0DTE0,Q8NCT1,0.4
P12034,Q8NGB2,0.4
P28845,Q9Y6N5,0.4
P30046,Q3SXY8,0.4
P31274,Q9Y573,0.4
P31949,Q70IA8,0.4
P33778,Q06055,0.4
P35244,P63131,0.4
P36941,P56373,0.4
P42127,Q9UK55,0.4
P53708,Q9Y242,0.4
P54107,Q9BU79,0.4
P56211,Q96C01,0.4
P61018,Q8N5I4,0.4
P61204,Q17RH7,0.4
P63129,Q7Z713,0.4
Q01130,Q8N9N8,0.4
Q0P6D6,Q9Y3T6,0.4
Q13190,Q8WUS8,0.4
Q14088,Q9H341,0.4
Q3MJ13,Q8NBT0,0.4
Q5DID0,Q9NX00,0.4
Q68CR7,Q9P241,0.4
Q6P093,Q8NE86,0.4
Q6UWN8,Q7Z7B1,0.4
Q86WS5,Q8NBI5,0.4
Q8IXQ4,Q9Y651,0.4
Q96BZ8,Q9BV68,0.4
O75438,P03897,0.4
Q4U2R6,Q8TCC3,0.4
Q6P1L8,Q6P1L8,0.4
Q8TCC3,Q9Y2R9,0.4
Q9H2W6,Q9Y3D5,0.4
P06028,Q02094,0.4
B2RUZ4,O95214,0.399
O75446,Q9BZL3,0.399
P28289,Q96EU6,0.399
Q6ZWJ1,Q8WUN7,0.399
Q8IXK0,Q96DD0,0.399
O43674,P56181,0.399
A5PLN7,Q9BRX9,0.398
A6NIX2,P49675,0.398
O15037,P62072,0.398
O15231,P84157,0.398
P01766,Q9H114,0.398
P09693,Q5T6X5,0.398
P20155,Q8NEJ0,0.398
P31275,Q9UNN8,0.398
P43121,Q7L5D6,0.398
P62699,Q9NYF5,0.398
Q8N912,Q9UH77,0.398
A0A075B734,Q96ED9,0.397
A0A1B0GX49,Q8NHA8,0.397
O95502,Q9P2J9,0.397
O95992,Q8WWY7,0.397
P02462,P32942,0.397
P32242,Q96M27,0.397
P51817,Q14781,0.397
P54725,Q8N8Z8,0.397
P56748,Q4VC39,0.397
Q30KQ6,Q8NGV0,0.397
Q6UXT8,Q969T9,0.397
Q7LDI9,Q8IXB1,0.397
Q7Z422,Q96IM9,0.397
Q8IV56,Q92882,0.397
Q9BSU1,Q9H8M7,0.397
O75251,O96000,0.397
A0A075B6N1,O43920,0.396
A6NJ88,Q16651,0.396
L0R8F8,P03999,0.396
O95140,Q9H706,0.396
P14317,Q99731,0.396
P18074,P50120,0.396
P61011,Q03060,0.396
Q02747,Q9NS64,0.396
Q6ZNA4,Q9BQI5,0.396
Q8IZJ4,Q9BYN0,0.396
Q8N7C7,Q9HBQ8,0.396
Q9BRG1,Q9Y333,0.396
A6NEY8,Q9H9S5,0.395
O75354,Q5GAN3,0.395
O75419,O94953,0.395
P01344,Q9BT73,0.395
P05019,P43632,0.395
P08473,Q9HBR0,0.395
P31275,Q96FX2,0.395
P31277,Q6GPH6,0.395
P35244,Q5U5X0,0.395
P50222,Q9NSA3,0.395
P56693,Q15311,0.395
P56746,Q96GF1,0.395
P58012,Q5JUW0,0.395
P59773,Q8NGA6,0.395
Q16661,Q9BTP7,0.395
Q6PI77,Q8WV24,0.395
Q6ZUS6,Q96HH9,0.395
Q9BRT3,Q9Y4Y9,0.395
A0A584,P04183,0.394
A6NL26,Q5TBC7,0.394
O60312,Q8IXM6,0.394
O75503,Q8IZV2,0.394
O95415,Q9P0N8,0.394
O95760,Q15612,0.394
P09622,Q8NGR8,0.394
P0C626,P19784,0.394
P27469,P51808,0.394
P55073,Q7L5L3,0.394
Q16385,Q8J025,0.394
Q1HG44,Q8N511,0.394
Q2I0M5,Q9H741,0.394
Q5EBN2,Q8IUE6,0.394
Q5R3F8,Q5VXU1,0.394
Q5TCZ1,Q86T03,0.394
Q6U949,Q9BYL1,0.394
Q6UX98,Q92520,0.394
Q7RTV5,Q8IWY8,0.394
Q8IU54,Q9NP31,0.394
Q8IYS2,Q8NFM7,0.394
Q8NB42,Q8WUK0,0.394
Q92819,Q9P035,0.394
Q9BPW5,Q9BPY8,0.394
A0A0B4J235,Q147U7,0.393
A6NEN9,Q6P4F2,0.393
O00161,P22415,0.393
O15551,P0CG04,0.393
P31273,Q8WU39,0.393
P35225,Q96J65,0.393
P35244,Q9Y5Q6,0.393
P61106,Q99956,0.393
Q00604,Q9H467,0.393
Q6UWW0,Q9BQB6,0.393
Q6UXU6,Q9NXW2,0.393
P49821,Q9Y6M9,0.393
A6NCL1,P24666,0.392
O75264,Q8IWB4,0.392
O76081,Q9NRG0,0.392
O95206,P08100,0.392
O95905,Q96QA6,0.392
P04070,Q12982,0.392
P48050,P51124,0.392
P49840,Q9HD36,0.392
P63000,Q9Y5X5,0.392
Q12857,Q9Y3L5,0.392
Q5R3K3,Q9BXA9,0.392
Q6UWI2,Q96MG2,0.392
Q6UX15,Q92637,0.392
Q6UY14,Q9C0B1,0.392
Q96E66,Q9H446,0.392
Q99500,Q9UDY2,0.392
Q9BRG1,Q9BTX3,0.392
P03905,P03905,0.392
A0A075B767,P48059,0.391
A0A1B0GTZ2,P10412,0.391
B3GLJ2,Q3SXR2,0.391
O14842,Q96RT6,0.391
O43186,O75821,0.391
O76074,P40818,0.391
P15954,Q9BS40,0.391
P30203,Q8IXB3,0.391
P62495,Q9BX26,0.391
Q6UWV7,Q86Y27,0.391
Q8NGE5,Q9GZZ1,0.391
Q96S16,Q9Y253,0.391
Q9NX24,Q9P1A6,0.391
Q9UBQ0,Q9Y697,0.391
O95167,Q9NX14,0.391
A0A075B6I1,Q8WWB3,0.39
A0A1B0GW64,P06307,0.39
O43687,Q02363,0.39
P0C6T2,P41217,0.39
P0C881,Q8TDG4,0.39
P28068,Q5H8A4,0.39
P55773,Q30154,0.39
P59773,Q86SS6,0.39
P98175,Q01638,0.39
Q6PUV4,Q99969,0.39
A0A075B6I7,Q6ZSJ8,0.389
A0A075B6J1,Q15121,0.389
A0A087WTH1,P61968,0.389
A6NFC5,Q14192,0.389
A6NLU5,O60232,0.389
D0EPY3,Q96NY8,0.389
E9PJ23,P08574,0.389
O00124,O00217,0.389
O15393,Q8N8Q1,0.389
O75095,Q6IFH4,0.389
O75388,Q9GZM3,0.389
O75901,Q9H2S9,0.389
P00403,Q99541,0.389
P01178,P16930,0.389
P05019,P21127,0.389
P06681,Q8IZC7,0.389
P08887,Q86UD3,0.389
P09661,Q8IX12,0.389
P0CW19,P51606,0.389
P11230,Q8TBE3,0.389
P16471,Q01196,0.389
P20336,Q5TA45,0.389
P24666,Q9Y3C5,0.389
P32247,Q96BJ3,0.389
P32320,Q5VY09,0.389
P43366,Q14254,0.389
P51580,Q86SG7,0.389
P59536,Q8N567,0.389
P60900,Q8TDV2,0.389
P61764,Q96MU8,0.389
P61964,Q6ZT89,0.389
P62310,Q8NGP2,0.389
Q02575,Q9BU40,0.389
Q05923,Q8N8R5,0.389
Q08170,Q08334,0.389
Q11203,Q9UFC0,0.389
Q13535,Q14494,0.389
Q14392,Q8WWF3,0.389
Q15459,Q9H8G2,0.389
Q32M78,Q9H2G9,0.389
Q495A1,Q53FP2,0.389
Q5MY95,Q6DN72,0.389
Q6P2C0,Q8IUH4,0.389
Q6ZMG9,Q92545,0.389
Q71H61,Q9BRN9,0.389
Q7L190,Q99958,0.389
Q7Z3Y9,Q9HAT0,0.389
Q7Z7M9,Q9NX70,0.389
Q8N6S5,Q8NBM8,0.389
Q8TC56,Q9NUP9,0.389
Q9BX97,Q9NXI6,0.389
Q9H1C4,Q9UN67,0.389
Q9H4M7,Q9Y3D7,0.389
Q9UHC7,Q9ULW2,0.389
Q9UNU6,Q9UPR5,0.389
O15239,P03915,0.389
O75489,O75489,0.389
O95167,O95178,0.389
Q6P161,Q7Z2W9,0.389
Q96EY7,Q9Y3D5,0.389
A6NDN8,P41567,0.388
B3SHH9,Q01101,0.388
P15311,P53567,0.388
P19957,Q8NGI2,0.388
P48382,Q9Y3D8,0.388
P56556,Q6B9Z1,0.388
Q15843,Q7Z7E8,0.388
Q8TBF2,Q9H6S3,0.388
Q96EK4,Q96KP1,0.388
Q96N03,Q9NSI8,0.388
Q9C0C6,Q9Y6C7,0.388
Q9H5Z1,Q9UN74,0.388
A0A0A6YYK6,P78367,0.387
A0A0C4DH27,Q96BQ1,0.387
A0PK11,A6NCE7,0.387
A1X283,Q71UM5,0.387
A6NIZ1,Q8NBZ0,0.387
H0UI37,Q8NBR0,0.387
H3BNL8,O00570,0.387
O43827,Q53EU6,0.387
O75342,Q969X2,0.387
O96024,Q8TBE7,0.387
P51157,Q5VU97,0.387
P56556,Q5VZV1,0.387
P81277,Q99946,0.387
Q04771,Q99437,0.387
Q7KZN9,Q9Y6Y9,0.387
Q96DX4,Q9UIK5,0.387
O43678,O43678,0.387
A6NDN8,Q6P9F5,0.386
H3BQJ8,Q9NWQ9,0.386
O75711,P50583,0.386
O95863,Q9Y3B8,0.386
P01619,Q9H0F7,0.386
P08887,Q8WU20,0.386
P0DV79,P21757,0.386
P28482,Q2TAC6,0.386
P30622,Q96KR1,0.386
P60981,Q86Y78,0.386
Q6IWH7,Q9BX67,0.386
Q9BQ83,Q9NYZ3,0.386
Q9HBL8,Q9NYA4,0.386
O15239,O95168,0.386
O95139,O95298,0.386
A0A1B0GXF2,D6RGH6,0.385
A6NGA9,P17813,0.385
L0R8F8,Q96BF3,0.385
O75177,Q96S19,0.385
O95231,Q96H15,0.385
O95238,Q9NQ39,0.385
P00709,P13765,0.385
P0CG12,Q8N668,0.385
P25089,Q8WXH4,0.385
P26842,Q969S6,0.385
P55212,Q8NGH3,0.385
Q13765,Q86SG2,0.385
Q53S08,Q9H8S9,0.385
Q53S99,Q9H3N1,0.385
Q5I0X7,Q5SY85,0.385
Q86W54,Q8IX94,0.385
Q8N7C0,Q8NGX8,0.385
Q8TAG5,Q8TF08,0.385
Q8WU66,Q96E29,0.385
Q92904,Q96CS7,0.385
Q9BSF4,Q9H1N7,0.385
P03897,P03897,0.385
Q9BUE0,Q9Y3C7,0.385
O75052,Q6ZTR6,0.384
O95214,Q6IA17,0.384
P68106,Q96EY1,0.384
Q13952,Q9BR61,0.384
Q86V40,Q96LL9,0.384
Q96AE7,Q9NXL6,0.384
A0A0B4J2F2,Q99459,0.383
A0A1B0GX78,P99999,0.383
A6NJG2,Q8N7B1,0.383
O00231,O43679,0.383
O75541,Q9UPX8,0.383
P05023,Q96RE7,0.383
P10082,P43307,0.383
P17936,P30542,0.383
P21815,Q9H4I9,0.383
P32971,Q9UGV2,0.383
P37231,Q96T49,0.383
P41238,P49798,0.383
Q92552,Q9NQ50,0.383
A0A0A0MS03,O00587,0.382
A0A0B4J266,Q8N8I0,0.382
P01019,Q2M2I5,0.382
P10114,P61024,0.382
P41968,Q8NFW1,0.382
P49223,Q9Y5Z0,0.382
P98179,Q9P2K6,0.382
Q04323,Q6WBX8,0.382
Q92930,Q99607,0.382
Q96BQ5,Q96MR6,0.382
Q96RJ6,Q9BYG0,0.382
Q9H2W6,Q9H2W6,0.382
A0A087WSX0,Q8NH40,0.381
A0A0J9YXQ4,P61296,0.381
A0A0K0K1C4,P02760,0.381
A0A0U1RRA0,P16871,0.381
A0A5B0,P83876,0.381
C9JUS6,P60468,0.381
O14521,Q9NZI6,0.381
O14626,Q6UXR4,0.381
O15392,Q8WUD1,0.381
O43708,O75607,0.381
P01764,Q96MF7,0.381
P0CB33,Q9BYX4,0.381
P0CW20,Q9Y676,0.381
P11487,Q5PT55,0.381
P15018,P62995,0.381
P23327,Q02575,0.381
P47893,Q8WTV1,0.381
P48051,Q8N131,0.381
P60468,Q6UWU4,0.381
P61160,Q96QE3,0.381
P62829,Q5VUG0,0.381
P63124,Q17RY6,0.381
P78369,Q3ZCW2,0.381
Q02818,Q96BI3,0.381
Q07654,Q9NS64,0.381
Q12952,Q7Z3F1,0.381
Q14692,Q9HAV5,0.381
Q3KRA6,Q9NYJ1,0.381
Q5JPI9,Q99640,0.381
Q5T6X5,Q96F07,0.381
Q68D91,Q86UD3,0.381
Q6EBC2,Q9Y261,0.381
Q6N075,Q9NPJ3,0.381
Q6UXK2,Q9UHV8,0.381
Q6UXN9,Q8NGI0,0.381
Q8N2Z9,Q9BZQ2,0.381
Q8N5U0,Q8WVJ9,0.381
Q8N6K7,Q9NYW3,0.381
Q8NEH6,Q99680,0.381
Q8WXB1,Q9Y587,0.381
Q8WXH2,Q9Y5L5,0.381
Q96ES7,Q9H0N0,0.381
Q96RJ0,Q9NWA0,0.381
Q99643,Q9UNA1,0.381
Q9H0R3,Q9H3J6,0.381
Q9P0X4,Q9UL59,0.381
O15239,P17568,0.381
P51398,Q16540,0.381
Q13084,Q9Y3D5,0.381
Q6P1X5,Q9HBM6,0.381
A6NH52,P80188,0.38
A8MZ97,P10451,0.38
P01375,Q9H6D8,0.38
P13473,Q4ZIN3,0.38
P20674,Q92915,0.38
P34949,Q8N4N3,0.38
P39905,Q96IL0,0.38
Q00059,Q7L8S5,0.38
Q14406,Q9Y337,0.38
Q5HYI8,Q96BD5,0.38
Q86YW5,Q9Y689,0.38
O75438,Q9NX14,0.38
O95169,O95178,0.38
A0A075B6H8,Q9H426,0.379
A0A0A0MS04,Q9H3U7,0.379
A0A0B4J271,Q8N7N1,0.379
C0HM01,P0CL85,0.379
P29536,P48448,0.379
P56559,Q96GL9,0.379
P56749,Q9UNQ2,0.379
P83369,Q8NBF6,0.379
Q13510,Q6UY11,0.379
Q3C1V0,Q9UL19,0.379
Q5D1E8,Q8WYN3,0.379
Q68CZ6,Q8NC42,0.379
Q6IE38,Q6PH81,0.379
Q8N8A2,Q92564,0.379
Q8WWZ8,Q9UIF9,0.379
Q96MX6,Q9Y3C6,0.379
Q9H3Z4,Q9Y5T4,0.379
Q9NY61,Q9Y3L5,0.379
O95139,Q9NX14,0.379
A0A1B0GVY4,Q96T91,0.378
B4DYI2,Q8TF17,0.378
C9JCN9,P62995,0.378
O43462,Q92538,0.378
O60739,Q9NXS2,0.378
O60830,Q9GZN4,0.378
O95822,Q9Y653,0.378
O95866,Q96DZ7,0.378
P01178,Q8NEA9,0.378
P04628,Q495N2,0.378
P0C6T2,Q9H9V4,0.378
P18507,Q9Y2B1,0.378
P21506,P22059,0.378
P32245,Q96HR3,0.378
P55075,Q96IZ5,0.378
P78367,Q13129,0.378
P84022,Q8N3Z0,0.378
Q13477,Q86WR6,0.378
Q15742,Q9NXX6,0.378
Q86SH2,Q8IXV7,0.378
Q8IVY1,Q9HBE5,0.378
Q969I6,Q9HCM2,0.378
Q9BSK0,Q9H503,0.378
Q9UBR4,Q9UHY1,0.378
P82930,Q7Z7F7,0.378
A0A0B4J249,Q96JW4,0.377
A0A0C4DH26,Q05315,0.377
A6ND48,Q8NHV4,0.377
E5RQL4,Q8WVD3,0.377
O75386,P04732,0.377
P08887,Q9H2M3,0.377
P21926,Q06432,0.377
P31150,Q9NVZ3,0.377
P31785,Q9NZU1,0.377
P43365,Q5SRD1,0.377
P56278,P63092,0.377
Q13474,Q5TC79,0.377
Q6P995,Q9Y5U5,0.377
Q7Z745,Q8TED4,0.377
Q8IXF9,Q96GF1,0.377
Q96CP2,Q96T52,0.377
O75586,Q9P086,0.377
Q96EY7,Q9Y3D9,0.377
A0A087WTH1,Q6UY09,0.376
A0A1B0GUU1,Q4U2R6,0.376
A0A597,A6NMZ2,0.376
O00461,P58335,0.376
O15079,P05013,0.376
O60667,Q9H6Y7,0.376
P20333,Q8NER1,0.376
P46060,Q9P2S6,0.376
P49682,Q9UQP3,0.376
P53673,Q13224,0.376
Q5T2E6,Q8NG35,0.376
Q6ZMM2,Q9BVV2,0.376
Q8N112,Q9HBL7,0.376
Q8NGF7,Q9NP66,0.376
Q96NY8,Q9BQ49,0.376
O43677,O95169,0.376
A6NNS2,P35453,0.375
A8MUZ8,P49908,0.375
A8MWY0,Q8N114,0.375
B7ZAP0,Q8NGF9,0.375
O14493,Q16635,0.375
O15016,P30041,0.375
O60925,Q96NH3,0.375
O75715,Q8NFV5,0.375
P01568,Q9Y5L0,0.375
P04553,P56179,0.375
P08493,P0DPI3,0.375
P08700,Q8IXA5,0.375
P0DN82,Q96DE0,0.375
P12838,Q7Z4R8,0.375
P15586,Q9Y5Z9,0.375
P29973,P50395,0.375
P30043,Q9BS26,0.375
P31995,P62873,0.375
P32971,Q8WWF8,0.375
P51149,Q9HA92,0.375
P55201,Q8IUE1,0.375
P56385,P61578,0.375
P59646,Q8WW52,0.375
P68431,Q92882,0.375
Q13426,Q9BYG3,0.375
Q14814,Q9P0W2,0.375
Q53F39,Q8IZ57,0.375
Q6GMV3,Q8NH69,0.375
Q6PIL6,Q7RTT5,0.375
Q86U17,Q9P246,0.375
Q86Y39,Q9Y3D0,0.375
Q8N4S7,Q9UKA2,0.375
Q8N7X8,Q96HQ2,0.375
Q8NEZ5,Q96KK4,0.375
Q8NF86,Q9UHD1,0.375
Q8NHZ8,Q9NRG1,0.375
Q8TAZ6,Q96SE0,0.375
Q8TCB6,Q9ULC4,0.375
Q8TEA1,Q9BXJ0,0.375
Q8WZ59,Q9NQ38,0.375
Q92541,Q96EV8,0.375
Q96ET8,Q9BVV7,0.375
Q9C037,Q9UKM9,0.375
O43676,O75251,0.375
O43677,Q16718,0.375
O75438,O95168,0.375
O95168,Q9NX14,0.375
P82912,Q9BQ48,0.375
Q9BRJ2,Q9Y3D5,0.375
A0A1B0GW54,Q8IUE6,0.374
O75871,Q6GTX8,0.374
O75896,Q70EL3,0.374
P56749,Q5JT25,0.374
P60008,Q15048,0.374
Q0P6D2,Q6IF00,0.374
Q6UWJ8,Q6ZUB0,0.374
Q6ZTZ1,Q9H3W5,0.374
Q8WWH5,Q9UPV0,0.374
A0A075B6N4,P01614,0.373
A0A5B7,Q8NGH5,0.373
A6NG13,Q6UWF3,0.373
B2RBV5,O75494,0.373
O43597,Q9NWT1,0.373
O43688,Q16288,0.373
O60243,Q9H7V2,0.373
O60279,P11712,0.373
O94907,P19961,0.373
P01920,Q3ZCW2,0.373
P05023,Q9NZP8,0.373
P05162,P0C6C1,0.373
P14770,Q6IEU7,0.373
P15923,Q9H8H3,0.373
P17039,P53671,0.373
P34910,Q5VT99,0.373
P35754,Q5JTN6,0.373
P51553,Q9HAY2,0.373
P54845,Q99933,0.373
Q02388,Q15907,0.373
Q13072,Q8N8F7,0.373
Q15181,Q9HAE3,0.373
Q5T0J7,Q5VVH5,0.373
Q6B8I1,Q6P6B7,0.373
Q6Y2X3,Q8IVQ6,0.373
Q7L2E3,Q7Z6A9,0.373
Q8IVF1,Q9NYZ4,0.373
Q8NCT3,Q99689,0.373
Q9BZV1,Q9GZW8,0.373
A2RUU4,P25021,0.372
F5H4A9,Q6PI25,0.372
O43508,Q13304,0.372
P15173,Q96PQ5,0.372
P25942,Q96EW2,0.372
P53801,Q6NT55,0.372
P61550,Q8IWN7,0.372
Q5NUL3,Q9UKS6,0.372
Q5VVJ2,Q8IYB3,0.372
Q9GZN0,Q9H8M9,0.372
Q6P161,Q8TAE8,0.372
P52333,Q96DN2,0.371
Q7Z7H8,Q9NYK5,0.371
A0A0A0MS05,Q15406,0.37
A0A1B0GUA5,A2RU37,0.37
A6NDA9,Q96MS0,0.37
B1ANY3,O00453,0.37
B3GLJ2,Q9BR10,0.37
H3BQJ8,Q9UJX6,0.37
H3BR10,Q8N126,0.37
H3BSY2,Q13547,0.37
O00574,Q9H6T3,0.37
O14512,O60403,0.37
O14626,Q15392,0.37
O15347,Q9H6R0,0.37
O15409,Q8N7N1,0.37
O15552,P13804,0.37
O75808,Q9GZW8,0.37
P01138,P82650,0.37
P08174,Q17RB0,0.37
P0DP08,Q6ZTB9,0.37
P10720,Q9UIK5,0.37
P15954,P49675,0.37
P19622,P20823,0.37
P21462,P63000,0.37
P21854,Q6UXU6,0.37
P23677,Q9BXF9,0.37
P34741,P51148,0.37
P35916,Q9Y2C9,0.37
P36537,Q5VZ03,0.37
P43320,Q9NZT2,0.37
Q02878,Q9HB20,0.37
Q13591,Q86XR5,0.37
Q5VUB5,Q8NH92,0.37
Q8IW35,Q9UPM6,0.37
Q8IYS2,Q9HCU5,0.37
Q8TE12,Q9P2W7,0.37
Q8WUW1,Q9Y6B2,0.37
Q8WVJ9,Q9BPX7,0.37
Q96BT1,Q9Y2I8,0.37
Q9GZU3,Q9UGM1,0.37
Q9H4G8,Q9H6J7,0.37
O95139,P03901,0.37
P82921,Q9Y6G3,0.37
P82930,Q9Y6G3,0.37
Q8TAE8,Q9Y3D5,0.37
Q96EL2,Q96EL3,0.37
O14640,Q6X4U4,0.369
P00441,P54725,0.369
P08174,Q13257,0.369
P21802,Q9UIG8,0.369
P50539,Q9UJG1,0.369
Q6B0K9,Q8NGV6,0.369
Q6U736,Q9UNE0,0.369
Q7Z7M9,Q9NQG6,0.369
Q86Y78,Q8NCW0,0.369
Q8IYS5,Q9UHV2,0.369
M0QZC1,P16662,0.368
O14645,Q9C0K7,0.368
O75396,Q86Y26,0.368
P01825,Q9Y3D5,0.368
P02766,Q9BQE9,0.368
P21964,Q96JF0,0.368
P55073,Q9Y4K3,0.368
P80297,Q499Y3,0.368
P80297,Q969Q4,0.368
Q1W4C9,Q6ICB0,0.368
Q8N5M4,Q8NEZ5,0.368
Q8NI32,Q96PD5,0.368
Q8TBZ2,Q9H3Y0,0.368
Q8TCD1,Q9BVC6,0.368
Q9NRC1,Q9NZ43,0.368
Q9NV56,Q9NYN1,0.368
A0A075B6L6,Q6P9F0,0.367
A6NIJ9,Q8N1A6,0.367
A8MTL3,Q6ZWK4,0.367
B7ZAP0,Q86VI4,0.367
B7ZBB8,I3L3R5,0.367
O00194,P50897,0.367
O76093,Q9HD89,0.367
O95196,Q9HBV2,0.367
O95857,P05026,0.367
O95971,Q9NWU5,0.367
P01135,P29762,0.367
P07477,P0DI82,0.367
P0C7V0,Q96DA6,0.367
P26715,Q496F6,0.367
P46091,Q6UW15,0.367
P51810,Q9Y5F1,0.367
P62861,Q9Y586,0.367
Q02539,Q9BV87,0.367
Q02747,Q16621,0.367
Q05329,Q9UKM7,0.367
Q15319,Q96R09,0.367
Q15475,Q9GZU3,0.367
Q2M2Z5,Q8NH55,0.367
Q504Y2,Q9P2J9,0.367
Q5RI15,Q9NTM9,0.367
Q5TGZ0,Q96IX5,0.367
Q5TZF3,Q9ULM2,0.367
Q5U5X8,Q92876,0.367
Q5VSP4,Q9NXI6,0.367
